Membership No  Date Joined  Active  
    68458      2019-12-15   no    
    33689      2015-6-6     yes   
    19515      2016-11-24   no    
    43862      2016-3-22    yes   
    87239      2017-7-6     no    
    21318      2016-10-15   no    
    37017      2018-7-2     no    
    77043      2020-8-7     no    
    77484      2017-7-24    yes   
    16615      2017-2-3     yes   
    23793      2018-7-10    yes   
    28846      2016-6-22    no    
    92665      2015-9-10    yes   
    38914      2016-2-10    no    
    92216      2018-11-15   no    
    21925      2017-5-7     yes   
    24785      2016-12-13   no    
    63812      2017-10-13   yes   
    50472      2016-8-15    yes   
    48757      2018-2-25    no    
